date,meter_id,meter_reading,daily_consumption,negative_diff_flag
2022-01-01,D0848,6651600.0,,False
2022-01-02,D0848,6653750.0,2150.0,False
2022-01-03,D0848,6655770.0,2020.0,False
2022-01-04,D0848,6658240.0,2470.0,False
2022-01-05,D0848,6660690.0,2450.0,False
2022-01-06,D0848,6663160.0,2470.0,False
2022-01-07,D0848,6665620.0,2460.0,False
2022-01-08,D0848,6668140.0,2520.0,False
2022-01-09,D0848,6670340.0,2200.0,False
2022-01-10,D0848,6672480.0,2140.0,False
2022-01-11,D0848,6674950.0,2470.0,False
2022-01-12,D0848,6677460.0,2510.0,False
2022-01-13,D0848,6680120.0,2660.0,False
2022-01-14,D0848,6682710.0,2590.0,False
2022-01-15,D0848,6685360.0,2650.0,False
2022-01-16,D0848,6687630.0,2270.0,False
2022-01-17,D0848,6689750.0,2120.0,False
2022-01-18,D0848,6692340.0,2590.0,False
2022-01-19,D0848,6694860.0,2520.0,False
2022-01-20,D0848,6697340.0,2480.0,False
2022-01-21,D0848,6699840.0,2500.0,False
2022-01-22,D0848,6702320.0,2480.0,False
2022-01-23,D0848,6704710.0,2390.0,False
2022-01-24,D0848,6706870.0,2160.0,False
2022-01-25,D0848,6709360.0,2490.0,False
2022-01-26,D0848,6711820.0,2460.0,False
2022-01-27,D0848,6714200.0,2380.0,False
2022-01-28,D0848,6716590.0,2390.0,False
2022-01-29,D0848,6719040.0,2450.0,False
2022-01-30,D0848,6721230.0,2190.0,False
2022-01-31,D0848,6723310.0,2080.0,False
2022-02-01,D0848,6725630.0,2320.0,False
2022-02-02,D0848,6727760.0,2130.0,False
2022-02-03,D0848,6729880.0,2120.0,False
2022-02-04,D0848,6732090.0,2210.0,False
2022-02-05,D0848,6734550.0,2460.0,False
2022-02-06,D0848,6736880.0,2330.0,False
2022-02-07,D0848,6738960.0,2080.0,False
2022-02-08,D0848,6741520.0,2560.0,False
2022-02-09,D0848,6744070.0,2550.0,False
2022-02-10,D0848,6746610.0,2540.0,False
2022-02-11,D0848,6749190.0,2580.0,False
2022-02-12,D0848,6751680.0,2490.0,False
2022-02-13,D0848,6754060.0,2380.0,False
2022-02-14,D0848,6756280.0,2220.0,False
2022-02-15,D0848,6758760.0,2480.0,False
2022-02-16,D0848,6761230.0,2470.0,False
2022-02-17,D0848,6763750.0,2520.0,False
2022-02-18,D0848,6766340.0,2590.0,False
2022-02-19,D0848,6768870.0,2530.0,False
2022-02-20,D0848,6771230.0,2360.0,False
2022-02-21,D0848,6773560.0,2330.0,False
2022-02-22,D0848,6776180.0,2620.0,False
