date,year,quarter,month,month_name,day,day_of_week,day_of_week_num,is_weekend,year_month
2022-02-11,2022,Q1,2,February,11,Friday,5,0,2022-02
2022-02-12,2022,Q1,2,February,12,Saturday,6,1,2022-02
2022-02-13,2022,Q1,2,February,13,Sunday,7,1,2022-02
2022-02-14,2022,Q1,2,February,14,Monday,1,0,2022-02
2022-02-15,2022,Q1,2,February,15,Tuesday,2,0,2022-02
2022-02-16,2022,Q1,2,February,16,Wednesday,3,0,2022-02
2022-02-17,2022,Q1,2,February,17,Thursday,4,0,2022-02
2022-02-18,2022,Q1,2,February,18,Friday,5,0,2022-02
2022-02-19,2022,Q1,2,February,19,Saturday,6,1,2022-02
2022-02-20,2022,Q1,2,February,20,Sunday,7,1,2022-02
2022-02-21,2022,Q1,2,February,21,Monday,1,0,2022-02
2022-02-22,2022,Q1,2,February,22,Tuesday,2,0,2022-02
2022-02-23,2022,Q1,2,February,23,Wednesday,3,0,2022-02
2022-02-24,2022,Q1,2,February,24,Thursday,4,0,2022-02
2022-02-25,2022,Q1,2,February,25,Friday,5,0,2022-02
2022-02-26,2022,Q1,2,February,26,Saturday,6,1,2022-02
2022-02-27,2022,Q1,2,February,27,Sunday,7,1,2022-02
2022-02-28,2022,Q1,2,February,28,Monday,1,0,2022-02
2022-03-01,2022,Q1,3,March,1,Tuesday,2,0,2022-03
2022-03-02,2022,Q1,3,March,2,Wednesday,3,0,2022-03
2022-03-03,2022,Q1,3,March,3,Thursday,4,0,2022-03
2022-03-04,2022,Q1,3,March,4,Friday,5,0,2022-03
2022-03-05,2022,Q1,3,March,5,Saturday,6,1,2022-03
2022-03-06,2022,Q1,3,March,6,Sunday,7,1,2022-03
2022-03-07,2022,Q1,3,March,7,Monday,1,0,2022-03
2022-03-08,2022,Q1,3,March,8,Tuesday,2,0,2022-03
2022-03-09,2022,Q1,3,March,9,Wednesday,3,0,2022-03
2022-03-10,2022,Q1,3,March,10,Thursday,4,0,2022-03
2022-03-11,2022,Q1,3,March,11,Friday,5,0,2022-03
2022-03-12,2022,Q1,3,March,12,Saturday,6,1,2022-03
2022-03-13,2022,Q1,3,March,13,Sunday,7,1,2022-03
2022-03-14,2022,Q1,3,March,14,Monday,1,0,2022-03
2022-03-15,2022,Q1,3,March,15,Tuesday,2,0,2022-03
2022-03-16,2022,Q1,3,March,16,Wednesday,3,0,2022-03
2022-03-17,2022,Q1,3,March,17,Thursday,4,0,2022-03
2022-03-18,2022,Q1,3,March,18,Friday,5,0,2022-03
2022-03-19,2022,Q1,3,March,19,Saturday,6,1,2022-03
2022-03-20,2022,Q1,3,March,20,Sunday,7,1,2022-03
2022-03-21,2022,Q1,3,March,21,Monday,1,0,2022-03
