scenario,contamination,eligible_row_count,anomaly_count,anomaly_rate,expected_anomaly_count,rate_delta_from_contamination,iqr_agreement_count,iqr_agreement_rate,zscore_agreement_count,zscore_agreement_rate,both_baseline_agreement_count,stable_with_strict_count,stable_with_balanced_count,no_ground_truth_note
strict,0.03,10420,313,0.0300383877159309,312.59999999999997,3.8387715930902205e-05,4,0.012779552715654952,4,0.012779552715654952,4,313,313,"No supervised anomaly labels are available; evaluation uses contamination sanity, IQR/Z-score agreement, scenario stability, and case review."
balanced,0.05,10420,521,0.05,521.0,0.0,10,0.019193857965451054,6,0.011516314779270634,6,313,521,"No supervised anomaly labels are available; evaluation uses contamination sanity, IQR/Z-score agreement, scenario stability, and case review."
sensitive,0.1,10420,1042,0.1,1042.0,0.0,24,0.023032629558541268,12,0.011516314779270634,12,313,521,"No supervised anomaly labels are available; evaluation uses contamination sanity, IQR/Z-score agreement, scenario stability, and case review."
